review,rating,place_index
"Đồ ăn ngon , nhân viên nhiệt tình , vui vẻ",5,1
"Đồ ăn ngon nhân viên thân thiện",5,1
"chưa bao giờ ăn bánh tart ngon như ở KFC chi nhánh NVQ, nhân viên dth tư vând nhiệt tình 10đ k có nhưng",5,1
"Nhân viên làm đồ rất lâu",2,1
"Nghỉ trưa mát mẻ, ăn uống ngon miệng hợp vệ sinh",5,1
"Nhà hàng nhân viện chu đáo thân thiện, sạch sẽ, lên món nhanh đầy đủ, chất lượng đồ ăn tốt👍",5,1
"Món ăn ngon, nhân viên phục vụ thân thiện nhiệt tình, đáng để trải nghiệm.",5,1
"Nhà hàng tuyệt . Trang trí đẹp , nhân viên thân thiện đồ ăn ngon và đặc biệt lên món rất nhanh",5,1
"Nóng, sắm máy lạnh không dám bật, đưa 6 cục thịt gà khô rang thì ăn kiểu gì ?",1,1
"Chất lượng phục vụ quá tệ. - Không dọn nhìn bề bộn. - Chờ rất lâu. - Nhân viên nói chuyện quá ồn và như hét vào mặt khách.",3,1
"miifnh gọi khoai lớn nhưng nv set cho size vừa và mì thì nguội quá trời, trộn k tách sợi mì ra đc luôn :))))))",1,1
"Nhân viên nhiệt tình😀 thức ân ngon",5,1
"Nhân viên kfc thật tuyệt vời, phục vụ tận tình nhanh chóng",5,1
"Đồ ăn nóng bắp cải trộn ngon nhân viên nhiệt tình",5,1
"Nhân viên dễ thương phục vụ nhanh chóng không gian sạch sẻ giữ xe tốt",5,1
"Quán ăn khá sạch sẽ, mát nhân viên chuyên nghiẹp",5,1
"Toots nv rat than thien",5,1
"Nhân viên dễ thương không khi mát đồ ân nóng",5,1
"Sự trải nghiem tuyet vời, nhân viên thân thiện Món ăn ngon nóng hoiir Bánh trứng sieu ngon",5,1
"Ok sạch sẽ không gian thoáng các con tất vui",5,1
"Mình có order phần ăn nhưng đem ra thiếu món canh và mình đã nhắc nhân viên 2 lần là mình còn thiếu món và bạn nhân viên cứ dạ chứ mình k hề thấy giải quyết gì và tới cuối khi mình ăn xong vẫn chưa đem ra. Phục vụ quá tệ",1,1
"Không gian mát mẻ",5,1
"Nhà hàng sạch sẽ, QL có tâm",5,1
"Mình chỉ đặt 1 khoai cỡ nhỏ và 1 burger tôm. Phần này tối đa làm là 10p nhưng mình phải chờ đến 20p để mang về. Nếu là gà chiên khoảng 16p mình sẽ sẵn sàng đợi. Nhưng burger chỉ tầm 5-7p thôi. Quá lâu. Cá nhân sẽ không quay lại.",1,1
"không gian mát mẻ , đội ngũ nhân nhà hàng dễ thương",5,1
"Bạn áo trắng phục vụ nhanh nhẹn . sẽ quay lại 😊",5,1
"quán nhân viên dễ thường nhiệt tình, làm đồ ăn cũng lẹ",5,1
"Quán quá chán lấy đơn đợi 30' ròii hỏi tài xế lấy đơn chạy xong chắc về nghỉ luôn gặp mấy quán làm ăn kiểu này tài xế cạp đất ăn quá",1,1
